Scenario index,Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Event flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
1,2,2025,7,15,0,15,196,15,15,9002.84000000,170.22000000,0.00000000,8832.63000000,0,0.00000000,8832.63000000,0.00000000,9002.85000000,0.00000000,0.01000000,9002.85000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,3,2025,7,15,0,30,196,30,15,8982.11000000,174.77000000,0.00000000,8807.34000000,0,0.00000000,8807.34000000,0.00000000,8982.11000000,0.00000000,0.00000000,8982.11000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,8,2025,7,15,1,45,196,105,15,8894.65000000,199.65000000,0.00000000,8694.99000000,0,0.00000000,8694.99000000,0.00000000,8894.64000000,0.01000000,0.00000000,8894.65000000,0.00000000,2,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,9,2025,7,15,2,0,196,120,15,8879.31000000,204.91000000,0.00000000,8674.40000000,0,0.00000000,8674.40000000,0.00000000,8879.31000000,0.00000000,0.00000000,8879.31000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,11,2025,7,15,2,30,196,150,15,8872.00000000,216.28000000,0.00000000,8655.72000000,0,0.00000000,8655.72000000,0.00000000,8872.00000000,0.00000000,0.00000000,8872.00000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,13,2025,7,15,3,0,196,180,15,8864.69000000,227.65000000,0.00000000,8637.04000000,0,0.00000000,8637.04000000,0.00000000,8864.69000000,0.00000000,0.00000000,8864.69000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,14,2025,7,15,3,15,196,195,15,8877.20000000,233.45000000,0.00000000,8643.75000000,0,0.00000000,8643.75000000,0.00000000,8877.20000000,0.00000000,0.00000000,8877.20000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,17,2025,7,15,4,0,196,240,15,8914.72000000,250.84000000,0.00000000,8663.88000000,0,0.00000000,8663.88000000,0.00000000,8914.72000000,0.00000000,0.00000000,8914.72000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,18,2025,7,15,4,15,196,255,15,8944.57000000,256.41000000,0.01000000,8688.15000000,0,0.00000000,8688.15000000,0.00000000,8944.57000000,0.00000000,0.00000000,8944.57000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,21,2025,7,15,5,0,196,300,15,9034.12000000,273.14000000,0.03000000,8760.95000000,0,0.00000000,8760.95000000,0.00000000,9034.12000000,0.00000000,0.00000000,9034.12000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,23,2025,7,15,5,30,196,330,15,9122.19000000,283.19000000,154.47000000,8684.52000000,0,0.00000000,8684.52000000,0.00000000,9122.18000000,0.01000000,0.00000000,9122.19000000,0.00000000,2,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,24,2025,7,15,5,45,196,345,15,9166.23000000,288.22000000,231.70000000,8646.31000000,0,0.00000000,8646.31000000,0.00000000,9166.23000000,0.00000000,0.00000000,9166.23000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,25,2025,7,15,6,0,196,360,15,9210.26000000,293.24000000,308.92000000,8608.10000000,0,0.00000000,8608.10000000,0.00000000,9210.26000000,0.00000000,0.00000000,9210.26000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,27,2025,7,15,6,30,196,390,15,9309.45000000,301.58000000,539.69000000,8468.19000000,0,0.00000000,8468.19000000,0.00000000,9309.46000000,0.00000000,0.01000000,9309.46000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,28,2025,7,15,6,45,196,405,15,9359.05000000,305.74000000,655.07000000,8398.24000000,0,0.00000000,8398.24000000,0.00000000,9359.05000000,0.00000000,0.00000000,9359.05000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,29,2025,7,15,7,0,196,420,15,9408.65000000,309.91000000,770.45000000,8328.29000000,0,0.00000000,8328.29000000,0.00000000,9408.65000000,0.00000000,0.00000000,9408.65000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,32,2025,7,15,7,45,196,465,15,9533.86000000,319.06000000,1153.23000000,8061.58000000,0,0.00000000,8061.58000000,0.00000000,9533.87000000,0.00000000,0.01000000,9533.87000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,33,2025,7,15,8,0,196,480,15,9575.60000000,322.11000000,1280.82000000,7972.67000000,0,0.00000000,7972.67000000,0.00000000,9575.60000000,0.00000000,0.00000000,9575.60000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,34,2025,7,15,8,15,196,495,15,9596.49000000,323.85000000,1425.05000000,7847.59000000,0,0.00000000,7847.59000000,0.00000000,9596.49000000,0.00000000,0.00000000,9596.49000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,35,2025,7,15,8,30,196,510,15,9617.38000000,325.58000000,1569.28000000,7722.52000000,0,0.00000000,7722.52000000,0.00000000,9617.38000000,0.00000000,0.00000000,9617.38000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,36,2025,7,15,8,45,196,525,15,9638.27000000,327.32000000,1713.52000000,7597.44000000,0,0.00000000,7597.44000000,0.00000000,9638.28000000,0.00000000,0.01000000,9638.28000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,37,2025,7,15,9,0,196,540,15,9659.16000000,329.05000000,1857.75000000,7472.36000000,0,0.00000000,7472.36000000,0.00000000,9659.16000000,0.00000000,0.00000000,9659.16000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,39,2025,7,15,9,30,196,570,15,9649.95000000,329.64000000,2118.73000000,7201.58000000,0,0.00000000,7201.58000000,0.00000000,9649.95000000,0.00000000,0.00000000,9649.95000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,41,2025,7,15,10,0,196,600,15,9640.75000000,330.24000000,2379.72000000,6930.79000000,0,0.00000000,6930.79000000,0.00000000,9640.75000000,0.00000000,0.00000000,9640.75000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,43,2025,7,15,10,30,196,630,15,9594.67000000,327.89000000,2502.85000000,6763.93000000,0,0.00000000,6763.93000000,0.00000000,9594.67000000,0.00000000,0.00000000,9594.67000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,48,2025,7,15,11,45,196,705,15,9464.46000000,317.74000000,2594.10000000,7461.15000000,0,908.52000000,6552.62000000,0.00000000,9464.47000000,0.00000000,0.01000000,9464.47000000,0.00000000,1,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
1,50,2025,7,15,12,15,196,735,15,9414.56000000,311.25000000,2013.00000000,7853.56000000,0,763.25000000,7090.31000000,0.00000000,9414.56000000,0.00000000,0.00000000,9414.56000000,0.00000000,1,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
1,51,2025,7,15,12,30,196,750,15,9392.69000000,307.36000000,1537.38000000,8192.30000000,0,644.35000000,7547.95000000,0.00000000,9392.69000000,0.00000000,0.00000000,9392.69000000,0.00000000,1,2,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
