Window index,Dataset code,Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
2,1,7009,2025,10,20,0,0,293,0,60,12724.59305182,357.56592414,-362.44453408,12807.04135976,123.11718114,-140.86106150,586.58378469,3810.66648628,0.00000000,9202.18512702,65.53508518,0.00000000,10746.74893133,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7010,2025,10,20,1,0,293,60,60,9971.66261304,105.37860084,-392.13430612,8796.87633755,-7.62688142,-72.80037648,296.94876453,13178.68253094,0.00000000,6984.00355851,7.09005276,0.00000000,14068.32013428,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7011,2025,10,20,2,0,293,120,60,11984.69961777,365.05601477,238.85361900,13072.14389395,111.97655975,-19.96735081,79.14518116,15142.66645662,0.00000000,9121.14577404,9.84061712,0.00000000,11622.74590457,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7012,2025,10,20,3,0,293,180,60,12860.41772839,133.29253309,464.25873160,7308.24259381,-1.01417675,-29.13465246,741.10358650,6688.92087244,0.00000000,5559.18575381,51.33261798,0.00000000,15571.08891161,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7013,2025,10,20,4,0,293,240,60,8122.78144428,283.47159339,-527.99743119,11906.62116197,71.85171694,26.91531485,991.66414791,12348.46733619,0.00000000,4189.70701507,40.01787296,0.00000000,13338.26278484,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7014,2025,10,20,5,0,293,300,60,8036.23901669,251.43285657,444.16236063,8381.28461163,-216.91702978,49.48475308,163.36433431,9498.22687640,0.00000000,6742.80700176,-7.54642454,0.00000000,7732.78164715,0.00000000,1,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7015,2025,10,20,6,0,293,360,60,7840.01742815,139.76490563,-280.68423622,12405.48077591,165.23184508,-114.82063502,1225.13015068,8938.55286810,0.00000000,14481.13843859,91.27412729,0.00000000,9161.12465327,0.00000000,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7016,2025,10,20,7,0,293,420,60,13596.37503845,132.03627990,-442.95139243,12659.06147222,-14.18424426,190.94644944,1974.86179766,11437.53383714,0.00000000,12294.34502623,176.91802848,0.00000000,10648.85113939,0.00000000,2,2,1,0.40000000,180.00000000,1,0.40000000,180.00000000,2
2,1,7017,2025,10,20,8,0,293,480,60,11353.92470587,522.68848119,592.33337718,4671.66783875,-105.63161867,-126.19553665,2029.61134695,11924.15777651,0.00000000,7107.14087729,-74.01655875,0.00000000,11279.22840025,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
2,1,7018,2025,10,20,9,0,293,540,60,10769.16650031,131.30933845,1193.06192579,6581.27724287,327.94433553,49.49938255,1388.67546425,13685.72674561,0.00000000,9003.16356020,-67.53185492,0.00000000,15726.45562100,0.00000000,1,2,2,1.00000000,450.00000000,2,1.00000000,450.00000000,2
2,1,7019,2025,10,20,10,0,293,600,60,8127.89752781,470.54325098,1609.76451006,5313.79259338,34.11945296,160.16951917,1433.43589905,8955.97861385,0.00000000,8570.27521142,-16.80597494,0.00000000,15928.88639033,0.00000000,1,2,3,1.60000000,720.00000000,3,1.60000000,720.00000000,2
