Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
1,2025,1,1,0,0,1,0,60,9889.11000000,578.57000000,0.00000000,9310.54000000,0.00000000,0.00000000,3600.00000000,9310.54000000,0.00000000,9889.11000000,0.00000000,0.00000000,9889.11000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2,2025,1,1,1,0,1,60,60,9806.20000000,597.82000000,0.00000000,9208.38000000,0.00000000,0.00000000,3600.00000000,9208.38000000,0.00000000,9806.20000000,0.00000000,0.00000000,9806.20000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,2025,1,1,2,0,1,120,60,9744.85000000,620.08000000,0.00000000,9124.77000000,0.00000000,0.00000000,3600.00000000,9124.77000000,0.00000000,9744.85000000,0.00000000,0.00000000,9744.85000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
4,2025,1,1,3,0,1,180,60,9730.23000000,644.22000000,0.00000000,9086.01000000,0.00000000,0.00000000,3600.00000000,9086.01000000,0.00000000,9730.23000000,0.00000000,0.00000000,9730.23000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
5,2025,1,1,4,0,1,240,60,9780.26000000,668.98000000,0.00000000,9111.28000000,0.00000000,0.00000000,3600.00000000,9111.28000000,0.00000000,9780.26000000,0.00000000,0.00000000,9780.26000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
6,2025,1,1,5,0,1,300,60,9899.66000000,692.99000000,0.00000000,9206.67000000,0.00000000,0.00000000,3600.00000000,9206.67000000,0.00000000,9899.66000000,0.00000000,0.00000000,9899.66000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
7,2025,1,1,6,0,1,360,60,10075.80000000,714.91000000,0.00000000,9360.89000000,0.00000000,0.00000000,3600.00000000,9360.89000000,0.00000000,10075.80000000,0.00000000,0.00000000,10075.80000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
8,2025,1,1,7,0,1,420,60,10274.19000000,733.49000000,0.00000000,8640.70000000,900.00000000,0.00000000,2577.27000000,9540.70000000,0.00000000,10274.19000000,0.00000000,0.00000000,10274.19000000,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
9,2025,1,1,8,0,1,480,60,10441.14000000,747.66000000,250.28000000,8543.21000000,900.00000000,0.00000000,1554.55000000,9443.21000000,0.00000000,10441.14000000,0.00000000,0.00000000,10441.14000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
10,2025,1,1,9,0,1,540,60,10524.70000000,756.61000000,703.75000000,9064.34000000,0.00000000,0.00000000,1554.55000000,9064.34000000,0.00000000,10524.70000000,0.00000000,0.00000000,10524.70000000,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
11,2025,1,1,10,0,1,600,60,10506.29000000,759.82000000,1186.59000000,8559.88000000,0.00000000,0.00000000,1554.55000000,8559.88000000,0.00000000,10506.29000000,0.00000000,0.00000000,10506.29000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
12,2025,1,1,11,0,1,660,60,10414.13000000,757.12000000,1489.54000000,8799.86000000,0.00000000,632.38000000,2111.04000000,8167.48000000,0.00000000,10414.13000000,0.00000000,0.00000000,10414.13000000,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
