Scenario index,Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Event flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
1,1,2025,7,15,0,0,196,0,15,9023.57000000,165.66000000,0.00000000,8857.91000000,0,0.00000000,8857.91000000,0.00000000,9023.57000000,0.00000000,0.00000000,9023.57000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,2,2025,7,15,0,15,196,15,15,9002.84000000,170.22000000,0.00000000,8832.63000000,0,0.00000000,8832.63000000,0.00000000,9002.85000000,0.00000000,0.01000000,9002.85000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,3,2025,7,15,0,30,196,30,15,8982.11000000,174.77000000,0.00000000,8807.34000000,0,0.00000000,8807.34000000,0.00000000,8982.11000000,0.00000000,0.00000000,8982.11000000,0.00000000,1,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,4,2025,7,15,0,45,196,45,15,8961.39000000,179.32000000,0.00000000,8782.06000000,0,0.00000000,8782.06000000,0.00000000,8961.38000000,0.01000000,0.00000000,8961.39000000,0.00000000,2,1,1,1,1.00000000,450.00000000,1,1.00000000,450.00000000,1
1,5,2025,7,15,1,0,196,60,15,8940.66000000,183.88000000,0.00000000,8756.78000000,0,0.00000000,8756.78000000,0.00000000,8940.66000000,0.00000000,0.00000000,8940.66000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,6,2025,7,15,1,15,196,75,15,8925.32000000,189.14000000,0.00000000,8736.18000000,0,0.00000000,8736.18000000,0.00000000,8925.32000000,0.00000000,0.00000000,8925.32000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,7,2025,7,15,1,30,196,90,15,8909.99000000,194.39000000,0.00000000,8715.59000000,0,0.00000000,8715.59000000,0.00000000,8909.98000000,0.01000000,0.00000000,8909.99000000,0.00000000,2,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,8,2025,7,15,1,45,196,105,15,8894.65000000,199.65000000,0.00000000,8694.99000000,0,0.00000000,8694.99000000,0.00000000,8894.64000000,0.01000000,0.00000000,8894.65000000,0.00000000,2,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,9,2025,7,15,2,0,196,120,15,8879.31000000,204.91000000,0.00000000,8674.40000000,0,0.00000000,8674.40000000,0.00000000,8879.31000000,0.00000000,0.00000000,8879.31000000,0.00000000,1,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
1,10,2025,7,15,2,15,196,135,15,8875.66000000,210.59000000,0.00000000,8665.06000000,0,0.00000000,8665.06000000,0.00000000,8875.65000000,0.01000000,0.00000000,8875.66000000,0.00000000,2,1,1,2,0.40000000,180.00000000,2,0.40000000,180.00000000,1
