Window index,Dataset code,Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
3,3,985,2025,2,11,0,0,42,0,60,13206.81765000,455.78191242,-603.82100104,4206.07562386,20.82766101,-88.53716308,708.44424954,6628.46822365,0.00000000,11649.31435101,20.79822282,0.00000000,6232.20165661,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,986,2025,2,11,1,0,42,60,60,6776.10249789,594.44868273,-228.43360674,14908.19736607,-18.48666204,103.68578810,919.28823313,12308.19002233,0.00000000,7978.66487609,-1.71454882,0.00000000,5811.21065731,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,987,2025,2,11,2,0,42,120,60,8687.51569817,230.47950789,-388.06784664,4484.30626503,-17.48729946,126.14943535,707.17174109,9631.13036147,0.00000000,3608.05154913,31.80888365,0.00000000,11775.02952805,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,988,2025,2,11,3,0,42,180,60,5125.04297453,529.64813017,88.38973441,6107.23733582,-112.32400290,45.81223993,1046.91086110,10994.72846786,0.00000000,12657.62083373,5.19327870,0.00000000,8272.53156669,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,989,2025,2,11,4,0,42,240,60,6596.35255918,168.53690024,-548.02298376,11148.16671265,24.89905813,-132.24569158,651.99615697,9179.10499782,0.00000000,13850.26696705,-15.16353474,0.00000000,8054.65506495,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,990,2025,2,11,5,0,42,300,60,10363.90164220,307.42532059,-140.55621047,9737.88482528,-87.84235283,47.66780888,262.94058129,10426.11513395,0.00000000,7531.23152716,-9.70184676,0.00000000,5938.24712745,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,991,2025,2,11,6,0,42,360,60,9008.49241739,447.08461053,140.35809226,11009.06518555,121.42191493,16.25114868,1374.07761625,8773.22075439,0.00000000,14164.69182772,6.71543123,0.00000000,11741.67078357,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,992,2025,2,11,7,0,42,420,60,8067.00249238,401.22119863,368.00307362,8121.11228684,-53.89072938,-160.46248238,258.13668968,10105.10682711,0.00000000,4835.62144307,90.77341149,0.00000000,13226.48997466,0.00000000,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,3,993,2025,2,11,8,0,42,480,60,10709.50278495,560.86353019,292.75498443,10584.40593184,-105.85506807,10.03745364,1186.82206915,4116.89390953,0.00000000,4731.55085231,-56.80490412,0.00000000,9488.90122261,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
3,3,994,2025,2,11,9,0,42,540,60,8330.66688807,544.89481413,888.56866004,9366.37728542,-60.67222055,183.91261247,946.68649228,2838.49512234,0.00000000,8982.84188085,-6.70001685,0.00000000,8317.05610032,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
3,3,995,2025,2,11,10,0,42,600,60,10161.42352543,408.40348038,1563.37516909,7166.38032709,-45.68828749,-172.65816093,1258.57912167,11046.26725830,0.00000000,10585.12798033,-15.39919045,0.00000000,8736.25029767,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
3,3,996,2025,2,11,11,0,42,660,60,5897.83846489,582.80000401,1775.03306316,10324.39573430,-107.55767576,676.01941534,1567.19004422,9431.77084126,0.00000000,12870.99250182,-49.81148726,0.00000000,6029.12055759,0.00000000,1,1,3,1.60000000,720.00000000,3,1.60000000,720.00000000,1
3,3,997,2025,2,11,12,0,42,720,60,15455.71089311,320.23927405,1725.84412610,8838.52337716,-77.86531733,755.69195670,1288.35241738,2078.03036516,0.00000000,11485.63008011,-23.57060708,0.00000000,9443.32492603,0.00000000,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
