Time index,Year,Month,Day,Hour,Minute,Day of year,Minute of day,Time resolution_min,Load power_MW,Wind power_MW,PV power_MW,Hydropower output_MW,Pumped-storage generation_MW,Pumped-storage pumping_MW,Stored energy_MWh,Net load_MW,Curtailment_MW,Total supply_MW,Power deficit_MW,Power surplus_MW,Total supply with slack_MW,Power-balance error_MW,Power-deficit flag,Scenario index,TOU season code,General TOU period code,General TOU relative-price index,General TOU tariff_CNY_per_MWh,Yalong River proxy TOU period code,Yalong River proxy relative-price index,Yalong River proxy tariff_CNY_per_MWh,Tariff-policy applicability code
1,2025,1,15,0,0,15,0,60,9744.29000000,264.57000000,0.00000000,9479.72000000,0.00000000,0.00000000,1098.77000000,9479.72000000,0.00000000,9744.29000000,0.00000000,0.00000000,9744.29000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
2,2025,1,15,1,0,15,60,60,9661.38000000,281.38000000,0.00000000,9380.00000000,0.00000000,0.00000000,1098.77000000,9380.00000000,0.00000000,9661.38000000,0.00000000,0.00000000,9661.38000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
3,2025,1,15,2,0,15,120,60,9600.03000000,302.41000000,0.00000000,9297.61000000,0.00000000,0.00000000,1098.77000000,9297.61000000,0.00000000,9600.02000000,0.01000000,0.00000000,9600.03000000,0.00000000,2,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
4,2025,1,15,3,0,15,180,60,9585.41000000,326.56000000,0.00000000,9258.85000000,0.00000000,0.00000000,1098.77000000,9258.85000000,0.00000000,9585.41000000,0.00000000,0.00000000,9585.41000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
5,2025,1,15,4,0,15,240,60,9635.44000000,352.54000000,0.00000000,9282.90000000,0.00000000,0.00000000,1098.77000000,9282.90000000,0.00000000,9635.44000000,0.00000000,0.00000000,9635.44000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
6,2025,1,15,5,0,15,300,60,9754.84000000,378.98000000,0.00000000,9375.86000000,0.00000000,0.00000000,1098.77000000,9375.86000000,0.00000000,9754.84000000,0.00000000,0.00000000,9754.84000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
7,2025,1,15,6,0,15,360,60,9930.98000000,404.51000000,0.00000000,9526.47000000,0.00000000,0.00000000,1098.77000000,9526.47000000,0.00000000,9930.98000000,0.00000000,0.00000000,9930.98000000,0.00000000,1,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
8,2025,1,15,7,0,15,420,60,10129.37000000,427.81000000,0.36000000,9701.19000000,0.00000000,0.00000000,1098.77000000,9701.19000000,0.00000000,10129.36000000,0.01000000,0.00000000,10129.37000000,0.00000000,2,1,1,1,0.40000000,180.00000000,1,0.40000000,180.00000000,1
9,2025,1,15,8,0,15,480,60,10296.32000000,447.77000000,255.26000000,9593.29000000,0.00000000,0.00000000,1098.77000000,9593.29000000,0.00000000,10296.32000000,0.00000000,0.00000000,10296.32000000,0.00000000,1,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
10,2025,1,15,9,0,15,540,60,10379.88000000,463.48000000,632.12000000,9284.28000000,0.00000000,0.00000000,1098.77000000,9284.28000000,0.00000000,10379.88000000,0.00000000,0.00000000,10379.88000000,0.00000000,1,1,1,2,1.00000000,450.00000000,2,1.00000000,450.00000000,1
